상품번호,최저연회비,全가맹점,백화점,대형마트,편의점,온라인쇼핑,해외직구,대중교통,병원,교육,영화,요식,커피,베이커리,배달앱,일반주유,전기차충전,아파트관리비/공과금,통신,렌탈,정기구독/스트리밍,호텔/숙박,스포츠/레저,항공/라운지,항공구분
BJCBLP,0.000319321120289778,0.4111982658209997,0.6210150491938052,0.3437214621006255,0.6527277594802205,0.0,0.36144448935103424,0.0,0.0,0.0,0.6534465511266906,0.0,0.331841219338441,0.0,0.0,0.5595971673332812,0.0,0.0,0.6450110685554069,0.0,0.0,0.0,0.8604802994780641,0.2186641173709448,0.5
BLABSJ,0.000319321120289778,0.0,0.30286411508801214,0.14308516703073212,0.33755988972215417,0.2570690791903502,0.18478859681737314,0.42836621231557287,0.4958979953220997,0.6272106516708718,0.0,0.0006256098203897996,0.14337716697697286,0.4481079381196124,0.8175630224828724,0.22628974566695625,0.000340507048626761,0.00038856908421506956,0.3348492714333822,0.0003463858301560842,0.00041281223413548707,0.000387764919629232,0.0,0.10092665828688674,0.5
BIABE0,9.599099595205894e-05,0.08807563551353212,0.06670260900419236,0.035786635298968604,0.8282581608943919,0.0977361644250175,0.07401412541817083,0.960889222430153,0.10923312576363392,0.07539326283897951,0.8150372876979898,0.1370499673020079,0.5247215630240176,0.10766970173285548,0.09827438943722945,0.8073449955481021,0.07459358590522808,0.08512235350312403,0.09033263342531712,0.07588142824738855,0.09043320828129987,0.084946188221502,0.13819746423701493,0.04067911522179089,0.5
AXDBMR,0.000319321120289778,0.08326726235829039,0.05947664660789374,0.028944719529185012,0.484117665445695,0.36978490767712086,0.290161148417848,0.09733276195700301,0.10329690941688079,0.0712960559141475,0.10583705855343127,0.12960205943951028,0.3137296864296025,0.1018184488367363,0.97607766903871,0.022137095990152608,0.07053983699968344,0.08049642430072478,0.08407217370527181,0.07175769223207178,0.7821007347436146,0.08032983262799825,0.13065275594981052,0.18406941755794817,0.5
BNBC47,0.0002829089721762807,0.12305483679060861,0.11926891052036682,0.08555913445934893,0.23174575526190172,0.13637485277923994,0.1596858243986273,0.1436167465291951,0.15241698436058831,0.10519898320851803,0.15640915286311055,0.19123084299619664,0.2019300296062647,0.15023548150252894,0.13712585786762588,0.109202699326717,0.1040831646703865,0.31937569586144754,0.22071338527588857,1.0,0.2784112290029159,0.11852853016093659,0.19308252852684812,0.07097160368693374,0.5
BCBBLO,0.00012671064421211276,0.07522205856480034,0.04738641604437257,0.47329680775350885,0.7935143109068604,0.0835378598375271,0.4614536139503009,0.08797395852224085,0.0933646373718516,0.06444075088058566,0.78268243097927,0.11714047739203329,0.49116188505894887,0.9690851789519378,0.08399789595512724,0.004532089094410147,0.06375724442215203,0.07275647942415289,0.07359738885339434,0.06485799964111473,0.07729581698345608,0.07260590598298139,0.11802921077698555,0.02954773379398071,0.5
BLBBSK,0.00020207745307539155,0.0,0.30286411508801214,0.14308516703073212,0.33755988972215417,0.2570690791903502,0.18478859681737314,0.42836621231557287,0.4958979953220997,0.6272106516708718,0.0,0.0006256098203897996,0.14337716697697286,0.4481079381196124,0.8175630224828724,0.22628974566695625,0.000340507048626761,0.00038856908421506956,0.3348492714333822,0.0003463858301560842,0.00041281223413548707,0.000387764919629232,0.0,0.10092665828688674,0.5
BDAB6R,0.00020207745307539155,0.10725899042745993,0.09553111227702629,0.27227261574861966,0.12332270518896066,0.11892646166011915,0.09447869260833522,0.1252417960626785,0.5784115593696781,0.6554586642164476,0.1363318035052795,0.16676393817732849,0.12130194871552928,0.1310137013296919,0.11958137989489856,0.07463726241729528,0.09076631241299424,0.8673348824128394,0.11530919345020998,0.09233337342700332,0.11004014267122857,0.10336347508754731,0.1682976274570258,0.05729217487543511,0.5
BELBD7,0.00011636819367739215,0.2545719061707969,0.08888882957957463,0.2167220735015815,0.36806484621771823,0.11404407344362062,0.08976351751680839,0.4142792003945916,0.46804679419716305,0.08797311471087263,0.13071378329619684,0.15991763773814782,0.26358296586214786,0.1256350854805125,0.11467210476839176,0.06496520264327138,0.9398399318549538,0.09932556686375588,0.10955442460476862,0.08854273366427394,0.105522571994189,0.09912000726937532,0.16136234568209046,0.053464413245051794,0.5
AFA00A,7.601729377597787e-05,0.45821949063915407,0.6925987416525798,0.4085944398839002,0.030317575745267826,0.045849121292561745,0.41083883293794976,0.04828384043735178,0.05124247367150153,0.035367817766148654,0.7149652972900625,0.06429166328490549,0.0,0.05050905407763297,0.04610160862939118,0.6600784562392679,0.034992680426289544,0.03993184235777168,0.7080272469698661,0.03559682158630727,0.04242322337649966,0.03984920126568317,0.9371444493894683,0.0,0.5
ALQARY,0.0015683003158864725,0.07807210267661263,0.4980148908220017,0.30330112068475035,0.0822905391692954,0.3975032295483959,0.06334247956692705,0.09128935031435874,0.6969021364035707,0.8261188861481085,0.09923373806646428,0.5356045109796997,0.06778574237319132,0.09549651995314275,0.08716344561871771,0.47872496582895435,0.0661600036976917,0.07549838440101315,0.07730812131659816,0.06730224204279062,0.08020879170343768,0.07534213644025249,0.12250114977486631,0.032015912746906135,0.5
BA69LH,0.000319321120289778,0.13796691451791906,0.14167859242925993,0.10677778294371248,0.16649320867515097,0.15284701632166736,0.12723752851786688,0.1609636289495908,0.17082681169946998,1.0,0.1753631859233981,0.21432883838167088,0.17760708189719768,0.1683818139879687,0.15368873225875435,0.14183421966577636,0.11665494660469486,0.13312060926242358,0.155290641571589,0.11866896936331206,0.14142611533315358,0.13284510901301438,0.2164807284535798,0.2759928761182421,0.5
